602-584403586253135874 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584377452039778305 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584373169777201153 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584333789532401664 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584359164744458240 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-586028590229131264 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584308627114045440 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584503725097639936 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-589880247631421444 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584460829216608256 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584281068322299904 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584339751869681664 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584366381686267905 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584377516640448512 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-586217906117152770 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584335244674912257 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584405758965452800 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-585283060112863233 World stood for CharlieHebdo showed solidarity for Germanwings African lives matter too Garissa http [u'world', u'stood', u'for', u'charliehebdo', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa', u'http'] 1.0
602-584291641349005312 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584226683701432320 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584391223688830976 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584307841214865408 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584312188803874816 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584278668618371072 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584593756780945408 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584282848825221121 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584341094722215936 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584405276838666240 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584508151405228032 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584345934395506688 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584482937745371136 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-595531318676594689 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584551965432119296 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-601872249520521218 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584264910093287424 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584295341106814976 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584245252103503872 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584438354231566336 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584297691644960768 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584287191884509184 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584295220961005569 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584266413986177026 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584327989418156032 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584487688738308096 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584379306245107713 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584338083144794112 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584319645139611648 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584370428279451648 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-608151003288993792 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584285529178562560 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584429708823162882 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584319192813465601 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584318078139367424 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584371047937531904 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584296041010372608 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-585648368459866112 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584381374909415424 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584285065493917696 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584597077784539137 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-585528258046906370 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584288773464166400 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584338637623578624 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584324646411075585 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584277379335479296 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-587784168983154688 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-585298111330914304 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584358694999224320 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584494346512293889 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584442428695928832 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584406955252252672 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584480803469524993 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584410638610337792 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584539714125967360 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-585917524052586496 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584371333485744128 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584412629545816064 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584360995310727170 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584294293122248704 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584287745146781696 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584488463929626626 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584428289659445249 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584443374205304836 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584346428052471809 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-586113457700868096 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-586188968288514048 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584499140262031362 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584365660781809664 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584284583937634305 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584394880534777857 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-587254762397044738 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584402720909561856 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584341617080987648 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-585237099651170304 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584353959764221952 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584322435039760384 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584382537356746753 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584516746020806656 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584230780542525441 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584446784996564992 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-585284911428411392 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-584322882978852866 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-585220359730757632 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
602-585680835224932352 The whole world stood for CharlieHebdo and showed solidarity for Germanwings African lives matter too Garissa [u'the', u'whole', u'world', u'stood', u'for', u'charliehebdo', u'and', u'showed', u'solidarity', u'for', u'germanwings', u'african', u'lives', u'matter', u'too', u'garissa'] 1.0
